threshold,dataset,forget,retain,delta_forget_vs_baseline,delta_retain_vs_baseline,retain_constraint
-1,Cars,0.2772043278199229,0.60358,-0.0009949011317000322,-0.0020000000000000018,True
-1,SVHN,0.07244929317762754,0.60926,0.004379225568531042,0.0030000000000000027,True
0,Cars,0.2781992289516229,0.60558,0.0,0.0,True
0,SVHN,0.0680700676090965,0.60626,0.0,0.0,True
1,Cars,0.279691580649173,0.6053,0.0014923516975500761,-0.000280000000000058,True
1,SVHN,0.06883835279655809,0.60698,0.0007682851874615954,0.0007199999999999429,True
2,Cars,0.2675040417858475,0.60322,-0.010695187165775388,-0.0023600000000000287,True
2,SVHN,0.0693761524277812,0.60574,0.0013060848186847024,-0.000520000000000076,True
3,Cars,0.2576793931103097,0.60132,-0.020519835841313228,-0.0042600000000000415,True
3,SVHN,0.07406269207129687,0.60276,0.005992624462200377,-0.0035000000000000586,True
4,Cars,0.26588732744683496,0.60422,-0.012311901504787948,-0.0013600000000000279,True
4,SVHN,0.07928703134603565,0.6048,0.011216963736939159,-0.0014600000000000168,True
5,Cars,0.2903867678149484,0.61072,0.012187538863325464,0.005140000000000033,True
5,SVHN,0.08474185617701291,0.60522,0.016671788567916415,-0.001040000000000041,True
6,Cars,0.31650292252207435,0.61558,0.038303693570451436,0.010000000000000009,True
6,SVHN,0.0934618930547019,0.61516,0.025391825445605407,0.008900000000000019,True
7,Cars,0.34510633005845043,0.61776,0.06690710110682752,0.012179999999999969,True
7,SVHN,0.1018362015980332,0.62058,0.0337661339889367,0.01432,True
8,Cars,0.3786842432533267,0.62026,0.10048501430170381,0.014680000000000026,True
8,SVHN,0.11105562384757221,0.62264,0.04298555623847572,0.01637999999999995,True
9,Cars,0.40679020022385276,0.6227,0.12859097127222985,0.017120000000000024,True
9,SVHN,0.11846957590657652,0.62354,0.05039950829748002,0.017279999999999962,True
10,Cars,0.45951996020395475,0.62696,0.18132073125233183,0.021379999999999955,True
10,SVHN,0.1372157344806392,0.62874,0.06914566687154271,0.022479999999999944,True
11,Cars,0.5328939186668324,0.63414,0.25469468971520953,0.02856000000000003,True
11,SVHN,0.21231561155500922,0.63478,0.1442455439459127,0.02851999999999999,True
